date,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
4-Feb-2018,9199.96,9368,7930,8184.81,32014.31,2018-02-04 23:59:59.999000 UTC,274912288.4,356134,13805.29579,118884553.2
5-Feb-2018,8179.99,8382.8,6625,6939.99,63403.18,2018-02-05 23:59:59.999000 UTC,471166218.7,533510,29857.35839,222022401
6-Feb-2018,6939.63,7878,6000.01,7652.14,100201.5,2018-02-06 23:59:59.999000 UTC,684364276.4,785996,49565.02079,339117633.4
7-Feb-2018,7655.02,8476,7150.01,7599,60778.46,2018-02-07 23:59:59.999000 UTC,477935038.8,514893,30084.83627,237137973.5
8-Feb-2018,7599,7844,7572.09,7784.02,1521.54,2018-02-08 23:59:59.999000 UTC,11770168.04,12417,844.258813,6532638.64
9-Feb-2018,7789.9,8738,7789.9,8683.92,20482.91,2018-02-09 23:59:59.999000 UTC,173348469.8,273091,10404.04079,88117562.12
10-Feb-2018,8683.93,9065.78,8120,8533.98,49381.51,2018-02-10 23:59:59.999000 UTC,423411421.9,537578,24506.72329,210253734.4
11-Feb-2018,8533.99,8549,7726.53,8063.88,45025.19,2018-02-11 23:59:59.999000 UTC,366966437.3,524626,23180.34192,188849914.4
12-Feb-2018,8063.82,8989,8053,8903,41987.85,2018-02-12 23:59:59.999000 UTC,362440827,477660,20916.94974,180528457.6
13-Feb-2018,8903,8950,8351,8539.9,35454.97,2018-02-13 23:59:59.999000 UTC,305165143.7,401893,16558.45568,142530987.4
14-Feb-2018,8535.17,9489.6,8533,9449.99,40811.95,2018-02-14 23:59:59.999000 UTC,370126692.7,514897,20508.46344,185896385
15-Feb-2018,9449.98,10219.5,9301.5,10000.09,52427.6,2018-02-15 23:59:59.999000 UTC,512388484.7,608349,25805.09889,252255267.9
16-Feb-2018,10000.89,10323.37,9666,10159.98,38161.21,2018-02-16 23:59:59.999000 UTC,381103299.2,405310,18313.00447,182947133.9
17-Feb-2018,10156.07,11075.07,10050,11039.55,41882.11,2018-02-17 23:59:59.999000 UTC,446012696.2,413585,21147.62479,225229265.7
18-Feb-2018,11039.55,11274,10080,10383.43,61137.38,2018-02-18 23:59:59.999000 UTC,649423311.3,537534,29593.86377,314511909.5
19-Feb-2018,10375.01,11250,10270.33,11153,40831.42,2018-02-19 23:59:59.999000 UTC,443766562.7,366882,20619.87713,224193685.4
20-Feb-2018,11147.11,11786.01,11100.59,11200.99,48153.35,2018-02-20 23:59:59.999000 UTC,551573232.2,432197,24211.49181,277480902
21-Feb-2018,11195.07,11304.03,10200,10437.6,68113.82,2018-02-21 23:59:59.999000 UTC,731537130.5,542340,32338.074,347436564.7
22-Feb-2018,10439.02,10933.44,9679,9811.04,67060.17,2018-02-22 23:59:59.999000 UTC,682006373.9,506273,33029.29762,336067441.6
23-Feb-2018,9815.55,10435,9570.19,10131.04,57202.7,2018-02-23 23:59:59.999000 UTC,571800753.5,467480,28031.01137,280171693.1
24-Feb-2018,10131.04,10496.97,9352,9694.51,40888.16,2018-02-24 23:59:59.999000 UTC,405618586.7,337918,18646.87096,185164883.5
25-Feb-2018,9694.51,9847,9274.8,9590,28373.52,2018-02-25 23:59:59.999000 UTC,271286599.1,233567,13956.66153,133525539.5
26-Feb-2018,9590,10444.32,9350,10324,34878.29,2018-02-26 23:59:59.999000 UTC,347559259.7,285276,17045.76871,169936003.4
27-Feb-2018,10321,10870,10121,10569.04,30705.39,2018-02-27 23:59:59.999000 UTC,324295371.1,240542,15187.08374,160450471.5
28-Feb-2018,10584.33,11098,10300,10326.76,30800.98,2018-02-28 23:59:59.999000 UTC,327914696.1,277886,14412.84633,153537202.1
1-Mar-2018,10325.64,11060.41,10240,10920,25092.55,2018-03-01 23:59:59.999000 UTC,268172535.4,230428,12785.4045,136788817.2
2-Mar-2018,10923.36,11200,10770,11039,23910.71,2018-03-02 23:59:59.999000 UTC,262936307,211691,11893.33363,130864918.8
3-Mar-2018,11038.99,11544,11015.01,11464.48,21287.15,2018-03-03 23:59:59.999000 UTC,241749497.9,190444,10842.68278,123142920.2
4-Mar-2018,11464.47,11565,11050.02,11515,17295.92,2018-03-04 23:59:59.999000 UTC,194849579.1,168359,8197.401595,92437014.46
5-Mar-2018,11515,11710,11415.01,11454,15144.23,2018-03-05 23:59:59.999000 UTC,174866951.4,164318,7668.823714,88588986.34
6-Mar-2018,11455,11455,10555.48,10716.48,29515.57,2018-03-06 23:59:59.999000 UTC,323842216.7,250306,13482.2972,147874120.6
7-Mar-2018,10716.48,10899,9389.31,9910,50647.67,2018-03-07 23:59:59.999000 UTC,514808033.5,396721,24022.45123,244164771.4
8-Mar-2018,9910,10099,9060,9271.64,41109.47,2018-03-08 23:59:59.999000 UTC,394641280.6,336514,20257.45584,194608716.9
9-Mar-2018,9267.07,9410,8329,9227,64112.29,2018-03-09 23:59:59.999000 UTC,567082901.1,462712,31166.41485,275735446
10-Mar-2018,9230,9490,8667.07,8770.22,37180.01,2018-03-10 23:59:59.999000 UTC,341210248.4,288066,17639.82728,161991786.1
11-Mar-2018,8770.22,9740,8450,9533.57,44325.97,2018-03-11 23:59:59.999000 UTC,403491260.9,333367,21150.20694,192897625.6
12-Mar-2018,9533.57,9888.88,8780,9131.34,42230.78,2018-03-12 23:59:59.999000 UTC,395562731.9,336642,19369.69776,181454623.9
13-Mar-2018,9131.34,9474,8823,9150,40191.41,2018-03-13 23:59:59.999000 UTC,367353984.7,342734,19856.45705,181534440.8
14-Mar-2018,9151.92,9333.78,7900.28,8170,49708.09,2018-03-14 23:59:59.999000 UTC,426058009.8,399127,22883.32973,196344166.3
15-Mar-2018,8184.01,8430,7650,8240.98,52291.02,2018-03-15 23:59:59.999000 UTC,422130717.5,400529,26414.16025,213358245.7
16-Mar-2018,8240.98,8611.64,7900,8260,38815.41,2018-03-16 23:59:59.999000 UTC,322355002.2,255807,20049.43399,166563494.4
17-Mar-2018,8260,8348.62,7721.99,7824.8,33110.21,2018-03-17 23:59:59.999000 UTC,265973111.6,292041,15677.25736,125987772.4
18-Mar-2018,7824.01,8317.4,7322,8189.99,59488.23,2018-03-18 23:59:59.999000 UTC,458311733.5,423336,28216.51079,217530802.6
19-Mar-2018,8189,8705.23,8088.4,8600,55297.08,2018-03-19 23:59:59.999000 UTC,462654339,360414,27263.32476,228208487.6
20-Mar-2018,8595.01,9050,8280,8909.98,44865.11,2018-03-20 23:59:59.999000 UTC,387879393.5,298261,22849.03524,197422831.3
21-Mar-2018,8909.96,9177.01,8750.6,8885,39972.41,2018-03-21 23:59:59.999000 UTC,358157473.4,293696,19047.4868,170758402.4
22-Mar-2018,8884.82,9100,8465.1,8722.9,40617.56,2018-03-22 23:59:59.999000 UTC,354804129.3,276449,19567.56362,171050710.2
23-Mar-2018,8720,8909,8269,8898.03,39991.01,2018-03-23 23:59:59.999000 UTC,340755592.5,278571,20106.78939,171487640.9
24-Mar-2018,8898.04,8999.95,8491,8546.86,35466.61,2018-03-24 23:59:59.999000 UTC,313254829.9,270300,17302.10809,152967779.9
25-Mar-2018,8531.25,8669.85,8365.77,8470.15,29001.77,2018-03-25 23:59:59.999000 UTC,247023172.3,215660,14379.26436,122528264
26-Mar-2018,8470.14,8514.89,7831,8134.23,44033.6,2018-03-26 23:59:59.999000 UTC,358429758.9,310462,20957.25692,170723432.3
27-Mar-2018,8134.22,8215.94,7730,7795.51,37427.65,2018-03-27 23:59:59.999000 UTC,297609656.4,266540,18462.38211,146860645
28-Mar-2018,7795.51,8109,7728,7949.3,26401.33,2018-03-28 23:59:59.999000 UTC,209186093.2,183620,13685.41714,108484584.6
29-Mar-2018,7949.3,7975,6941.11,7090.14,54620.92,2018-03-29 23:59:59.999000 UTC,405591158.6,359537,24584.81155,182402558.2
30-Mar-2018,7090.16,7292.43,6600.1,6840.23,65306.03,2018-03-30 23:59:59.999000 UTC,450352009.2,400057,31944.39058,220453635.6
31-Mar-2018,6840.24,7223.36,6777,6923.91,36868.54,2018-03-31 23:59:59.999000 UTC,258341534.5,240293,19086.03361,133763988.4
1-Apr-2018,6922,7049.98,6430,6813.01,44071.43,2018-04-01 23:59:59.999000 UTC,297470498.8,260942,21899.30066,147951173.8
2-Apr-2018,6813.01,7125,6765,7056,32123.56,2018-04-02 23:59:59.999000 UTC,224322159.4,206780,16365.68359,114292405.9
3-Apr-2018,7063.97,7520,7011.01,7405.21,37787.33,2018-04-03 23:59:59.999000 UTC,277080072.8,248143,19218.85049,140892233.1
4-Apr-2018,7405.21,7427.52,6707,6796.1,42227.18,2018-04-04 23:59:59.999000 UTC,297443582.8,277249,20299.4022,142890978.6
5-Apr-2018,6796.1,6902,6566.69,6770.76,39029.73,2018-04-05 23:59:59.999000 UTC,263446941.1,238476,18991.10271,128270766.9
